Month,Count
2011-01,25515
2011-02,25558
2011-03,28958
2011-04,31273
2011-05,30000
2011-06,29037
2011-07,29893
2011-08,28573
2011-09,24013
2011-10,24289
2011-11,22605
2011-12,20732
2012-01,20904
2012-02,20824
2012-03,22930
2012-04,20534
2012-05,22101
2012-06,20518
2012-07,22703
2012-08,22859
2012-09,20829
2012-10,21354
2012-11,20342
2012-12,19100
2013-01,20461
2013-02,18505
2013-03,19807
2013-04,20479
2013-05,21299
2013-06,21336
2013-07,24096
2013-08,22931
2013-09,20325
2013-10,20648
2013-11,19703
2013-12,18980
2014-01,18631
2014-02,17639
2014-03,20711
2014-04,20163
2014-05,20657
2014-06,21776
2014-07,22892
2014-08,21279
2014-09,21437
2014-10,21095
2014-11,20232
2014-12,18447
2015-01,19095
2015-02,17813
2015-03,19714
2015-04,19820
2015-05,20521
2015-06,21418
2015-07,21754
2015-08,20561
2015-09,20248
2015-10,21384
2015-11,20443
2015-12,19782
2016-01,19871
2016-02,19403
2016-03,20892
2016-04,20316
2016-05,22169
2016-06,21814
2016-07,23221
2016-08,22710
2016-09,22379
2016-10,23893
2016-11,21890
2016-12,21302
